stateabbr,Rank,MedianParkSizePoints,ParklandPoints,AceragePoints,10MinWalkPoints,POC10MinWalkPoints,LowIncome10MinWalkPoints,POCParkSpacePoints,EquityPoints,SpendingPoints,Stroke among adults,Arthritis among adults,Obesity among adults,Depression among adults
AK,52.0,40.0,100.0,70.0,62.0,68.0,69.0,27.0,49.0,41.0,4.466666666666667,23.533333333333335,32.4,19.275
AZ,80.71428571428571,66.0,34.714285714285715,50.42857142857143,35.0,36.285714285714285,30.571428571428573,54.857142857142854,41.857142857142854,39.0,5.125,28.15,,23.299999999999997
CA,53.25,49.0625,56.9375,53.3125,61.5625,60.6875,58.4375,31.75,45.8125,51.6875,3.5124999999999997,22.2,29.399999999999995,21.58888888888889
CO,36.333333333333336,58.666666666666664,49.0,54.0,76.0,77.0,75.0,26.333333333333332,58.333333333333336,64.33333333333333,3.075,33.2,31.2,21.8
FL,60.5,33.333333333333336,40.166666666666664,37.0,48.333333333333336,46.833333333333336,46.666666666666664,57.5,53.5,42.833333333333336,4.966666666666666,24.95,31.8,19.4
GA,27.0,23.0,26.0,25.0,65.0,59.0,57.0,32.0,48.0,100.0,4.726666666666666,30.425,39.1,
HI,43.0,54.0,91.0,73.0,57.0,58.0,64.0,42.0,59.0,45.0,5.9,,,
IA,25.0,81.0,69.0,75.0,58.0,61.0,53.0,23.0,40.0,61.0,3.98,25.55,39.22,18.5
ID,37.0,65.0,38.0,52.0,46.0,42.0,50.0,10.0,29.0,96.0,,25.7,35.650000000000006,25.5
IL,6.0,16.0,48.0,32.0,98.0,98.0,98.0,76.0,91.0,91.0,3.5666666666666664,30.0,36.45,22.266666666666666
KS,65.0,100.0,19.0,60.0,29.0,37.0,38.0,100.0,68.0,34.0,4.066666666666666,29.4,37.5,19.85
KY,75.0,84.0,20.5,52.5,27.0,35.0,36.0,44.0,46.0,30.5,4.45,36.9,,
LA,52.5,24.0,52.5,38.5,50.0,49.0,48.5,58.5,47.5,56.5,5.05,,42.1,
MO,20.0,58.5,45.0,52.0,76.0,80.0,78.0,78.5,76.5,61.0,5.3,28.6,38.0,23.2
NC,74.2,73.8,33.4,54.0,19.6,19.6,19.6,54.4,41.4,46.6,3.1,,,21.6
NE,35.0,62.5,48.0,55.5,79.5,80.0,77.5,46.5,59.5,35.0,3.6,31.05,,
NJ,41.5,2.0,41.0,21.5,94.0,93.0,95.5,82.0,88.5,31.0,3.1,,33.0,19.5
NV,46.5,40.5,62.25,51.5,56.75,56.75,54.75,50.75,53.75,43.0,,,34.8,
NY,22.5,4.5,72.0,38.5,91.5,92.5,91.5,37.5,68.5,74.5,,29.9,,22.7
OH,32.75,46.25,46.0,46.25,71.5,73.25,70.5,74.75,71.25,60.5,4.025,32.2,,
OK,76.0,66.0,23.5,45.0,30.0,37.0,36.5,91.5,63.5,34.5,4.433333333333334,33.8,40.7,
OR,11.0,42.0,92.0,67.0,86.0,85.0,87.0,22.0,54.0,100.0,,30.95,,25.65
PA,24.0,20.5,67.0,44.0,90.5,90.0,89.0,37.0,63.0,42.5,4.833333333333333,30.6,35.0,
TN,89.5,96.0,29.5,63.0,18.0,17.0,15.0,63.5,43.0,24.0,4.566666666666666,32.3,,
TX,68.0,67.5,34.75,51.333333333333336,43.916666666666664,42.416666666666664,40.0,54.75,46.333333333333336,45.75,4.266666666666667,22.475,38.3,23.020000000000003
VA,40.2,37.2,57.4,47.6,60.0,60.6,62.6,66.2,63.0,55.4,3.875,31.75,41.025,23.95
WA,13.0,49.0,50.0,49.5,89.5,89.5,90.0,47.5,65.0,99.0,3.7,33.3,,
WI,20.5,37.5,58.5,48.5,90.0,89.5,89.0,43.0,60.5,63.5,3.7,31.6,34.1,
